f_MHz,Z11r,Z11i,Z12r,Z12i,Z21r,Z21i,Z22r,Z22i
2.603519999999999754e+02,5.884032834804704681e-02,1.705357049779862066e+01,-4.397463048505674821e-01,8.543193669952355407e+00,-1.068107911105173002e+00,1.178167716968896350e+01,3.010392108021301993e+01,-2.071750408521641305e+02
2.605689600000000041e+02,6.009944612728418400e-02,1.706669210033509998e+01,-4.677866331823651858e-01,8.572905190939925646e+00,-1.034645092717487058e+00,1.180661221796032123e+01,2.956363790273287862e+01,-2.072186213663071044e+02
2.607859199999999760e+02,6.131903889279009118e-02,1.707979162737208512e+01,-4.952498415714795543e-01,8.603095711139436830e+00,-1.000986516328540965e+00,1.183073197608702110e+01,2.901924151031971277e+01,-2.072489828619731895e+02
2.610028800000000047e+02,6.249861279784543755e-02,1.709287024586001635e+01,-5.221263268707906358e-01,8.633748252103842447e+00,-9.671554002485607260e-01,1.185403425137440436e+01,2.847110065722342043e+01,-2.072660875823597451e+02
2.612198399999999765e+02,6.363771541998124170e-02,1.710592913617792377e+01,-5.484070896650444782e-01,8.664845582435100724e+00,-9.331749445799423226e-01,1.187651766169618384e+01,2.791958379617008745e+01,-2.072699101267038486e+02
2.614368000000000052e+02,6.473593617214977447e-02,1.711896949031832449e+01,-5.740837419874386116e-01,8.696370244546750783e+00,-8.990682967375773771e-01,1.189818163052360411e+01,2.736505855912899321e+01,-2.072604373778507068e+02
2.616537599999999770e+02,6.579290661997475032e-02,1.713199251006084367e+01,-5.991485136228787978e-01,8.728304581637345905e+00,-8.648585174514432650e-01,1.191902638023211658e+01,2.680789124517523447e+01,-2.072376684038895576e+02
2.618707200000000057e+02,6.680830070454599201e-02,1.714499940514012977e+01,-6.235942570024642917e-01,8.760630764793408076e+00,-8.305685473542411268e-01,1.193905292373363203e+01,2.624844631696273112e+01,-2.072016143345753676e+02
2.620876799999999776e+02,6.778183487060199242e-02,1.715799139141476104e+01,-6.474144506898654727e-01,8.793330820135947690e+00,-7.962211742426636985e-01,1.195826305448077598e+01,2.568708590717878337e+01,-2.071522982131951665e+02
2.623046400000000062e+02,6.871326810246118633e-02,1.717096968904149890e+01,-6.706032014720298973e-01,8.826386655926382829e+00,-7.618390011046735077e-01,1.197665933489678380e+01,2.512416933635106631e+01,-2.070897548247168913e+02
2.625215999999999781e+02,6.960240186704541587e-02,1.718393552066068963e+01,-6.931552450696758516e-01,8.859780089553893845e+00,-7.274444149956791339e-01,1.199424508329495431e+01,2.456005264327239956e+01,-2.070140305011381372e+02
2.627385600000000068e+02,7.044907996732314992e-02,1.719689010959836750e+01,-7.150659454899702672e-01,8.893492874321033526e+00,-6.930595568454787081e-01,1.201102435934850732e+01,2.399508812925731149e+01,-2.069251829049642879e+02
2.629555199999999786e+02,7.125318830649669810e-02,1.720983467808979839e+01,-7.363312930442290627e-01,8.927506725952591538e+00,-6.587062922659349118e-01,1.202700194818270063e+01,2.342962391733847483e+01,-2.068232807918891467e+02
2.631724800000000073e+02,7.201465456573691304e-02,1.722277044552924252e+01,-7.569479010679629472e-01,8.961803348754617815e+00,-6.244061834353533680e-01,1.204218334316398042e+01,2.286400352746131759e+01,-2.067084037537718757e+02
2.633894399999999791e+02,7.273344779834732543e-02,1.723569862675161701e+01,-7.769130013698942738e-01,8.996364461349696029e+00,-5.901804621130454231e-01,1.205657472746013958e+01,2.229856546859454269e+01,-2.065806419430445828e+02
