f_MHz,S11_dB,Re_Zin,Im_Zin
1.890000000000000000e+02,4.339783952835203629e-02,-1.395326294158426295e-01,1.710815359169361471e+01
1.891574999999999989e+02,4.292332359085085369e-02,-1.380341810729406871e-01,1.712423824145727735e+01
1.893149999999999977e+02,4.244999006375335671e-02,-1.365389415842663823e-01,1.714031223521687508e+01
1.894724999999999966e+02,4.197786014062804272e-02,-1.350469813290814391e-01,1.715637572007294409e+01
1.896299999999999955e+02,4.150695454074295604e-02,-1.335583692068173511e-01,1.717242884253906965e+01
1.897874999999999943e+02,4.103729351615944404e-02,-1.320731726583568022e-01,1.718847174853589621e+01
1.899449999999999932e+02,4.056889685858493244e-02,-1.305914576868131560e-01,1.720450458338747524e+01
1.901024999999999920e+02,4.010178390634568102e-02,-1.291132888784906341e-01,1.722052749181708364e+01
1.902599999999999909e+02,3.963597355107428832e-02,-1.276387294231692282e-01,1.723654061794260883e+01
1.904174999999999898e+02,3.917148424442309929e-02,-1.261678411343055695e-01,1.725254410527357862e+01
1.905749999999999886e+02,3.870833400478027736e-02,-1.247006844694365651e-01,1.726853809670739182e+01
1.907324999999999875e+02,3.824654042367771345e-02,-1.232373185495405643e-01,1.728452273452630905e+01
1.908899999999999864e+02,3.778612067245118444e-02,-1.217778011791592202e-01,1.730049816039435129e+01
1.910475000000000136e+02,3.732709150845400087e-02,-1.203221888652803856e-01,1.731646451535499764e+01
1.912050000000000125e+02,3.686946928142686986e-02,-1.188705368366414356e-01,1.733242193982807677e+01
1.913625000000000114e+02,3.641326993989169730e-02,-1.174228990630912239e-01,1.734837057360845591e+01
1.915200000000000102e+02,3.595850903708321805e-02,-1.159793282736309300e-01,1.736431055586307082e+01
1.916775000000000091e+02,3.550520173726162687e-02,-1.145398759755481277e-01,1.738024202513013705e+01
1.918350000000000080e+02,3.505336282152277799e-02,-1.131045924720753687e-01,1.739616511931663823e+01
1.919925000000000068e+02,3.460300669395661999e-02,-1.116735268811378246e-01,1.741207997569764387e+01
1.921500000000000057e+02,3.415414738737033301e-02,-1.102467271527344528e-01,1.742798673091498074e+01
1.923075000000000045e+02,3.370679856911007466e-02,-1.088242400866706039e-01,1.744388552097604261e+01
1.924650000000000034e+02,3.326097354685063345e-02,-1.074061113501311171e-01,1.745977648125331783e+01
1.926225000000000023e+02,3.281668527408984626e-02,-1.059923854945087895e-01,1.747565974648351173e+01
1.927800000000000011e+02,3.237394635593367209e-02,-1.045831059729572243e-01,1.749153545076745075e+01
1.929375000000000000e+02,3.193276905443228481e-02,-1.031783151566863926e-01,1.750740372756973073e+01
1.930949999999999989e+02,3.149316529403951154e-02,-1.017780543516578762e-01,1.752326470971841132e+01
1.932524999999999977e+02,3.105514666706138405e-02,-1.003823638150974085e-01,1.753911852940565552e+01
1.934099999999999966e+02,3.061872443882639530e-02,-9.899128277145255450e-02,1.755496531818717898e+01
1.935674999999999955e+02,3.018390955295427100e-02,-9.760484942831877675e-02,1.757080520698371728e+01
