f_MHz,tune L401,S1 R301,shunt C301,S2 L301,S11_dB,power_to_antenna_pct
387,1.2nH,0R,75pF,15pF,-26.2,78
388,10nH,0R,36pF,13pF,-18.1,76
389,10nH,0R,33pF,13pF,-19.6,77
390,10nH,0R,27pF,13pF,-27.1,77
391,8.2nH,0R,36pF,13pF,-19.5,79
392,8.2nH,0R,33pF,13pF,-26.0,80
393,6.8nH,0R,39pF,13pF,-21.2,81
394,5.6nH,0R,43pF,13pF,-19.3,82
395,5.6nH,0R,39pF,13pF,-24.8,83
396,5.6nH,0R,36pF,13pF,-30.1,84
397,3.9nH,0R,43pF,13pF,-24.4,85
398,3.3nH,0R,43pF,13pF,-23.5,86
399,2.2nH,0R,47pF,13pF,-24.7,87
400,1.5nH,0R,47pF,13pF,-26.8,88
401,1nH,0R,47pF,13pF,-30.3,89
402,1nH,0R,43pF,13pF,-39.9,90
403,0R,0R,43pF,13pF,-25.4,90
404,0R,0R,39pF,13pF,-24.6,91
405,0R,0R,36pF,13pF,-20.7,92
406,1.8nH,0R,33pF,12pF,-24.7,92
407,1.2nH,0R,33pF,12pF,-26.4,93
408,0R,0R,33pF,12pF,-26.7,93
409,0R,0R,30pF,12pF,-27.1,94
410,0R,0R,27pF,12pF,-26.2,94
411,0R,0R,24pF,12pF,-19.2,95
412,0R,0R,22pF,12pF,-19.9,95
413,0R,0R,24pF,11pF,-24.4,95
414,0R,0R,22pF,11pF,-28.5,96
415,0R,0R,18pF,11pF,-23.6,96
416,0R,0R,18pF,11pF,-22.5,96
417,0R,0R,16pF,10pF,-22.7,97
418,0R,0R,15pF,10pF,-25.7,97
419,0R,0R,12pF,10pF,-27.5,97
420,0R,0R,11pF,9.1pF,-29.6,97
421,0R,0R,9.1pF,9.1pF,-31.3,97
422,0R,0R,7.5pF,8.2pF,-33.8,98
423,0R,0R,5.6pF,7.5pF,-39.8,98
424,0R,0R,3.9pF,6.8pF,-49.4,98
425,100pF,0R,11pF,9.1pF,-27.9,98
426,100pF,0R,10pF,9.1pF,-33.5,98
427,100pF,0R,8.2pF,8.2pF,-32.1,99
428,100pF,0R,6.2pF,7.5pF,-30.4,99
429,100pF,4.3pF,0.75pF,0R,-52.0,99
430,100pF,0R,2pF,5.6pF,-39.4,99
431,82pF,0R,0.91pF,5.1pF,-47.0,99
432,68pF,0R,1.6pF,5.6pF,-31.3,99
433,56pF,0R,2pF,5.6pF,-43.3,99
433.92,51pF,0R,1.1pF,5.1pF,-64.0,99
434,51pF,0R,1.1pF,5.1pF,-64.0,99
435,43pF,0R,2.2pF,5.6pF,-43.7,99
436,39pF,0R,1.3pF,5.1pF,-41.4,99
437,36pF,0R,1.2pF,5.1pF,-44.0,99
438,100pF,8.2nH,1pF,0R,-27.6,98
439,100pF,5.6nH,270nH,0R,-33.4,99
440,91pF,0R,47nH,0R,-29.5,98
441,75pF,0R,39nH,0R,-34.2,98
442,62pF,0R,47nH,0R,-29.6,98
443,56pF,0R,39nH,0R,-28.0,98
444,51pF,0R,33nH,0R,-26.8,98
445,43pF,0R,39nH,0R,-32.1,98
446,39pF,0R,39nH,0R,-26.9,98
447,36pF,0R,33nH,0R,-31.0,98
448,33pF,0R,33nH,0R,-27.9,98
449,30pF,0R,33nH,0R,-29.9,97
450,27pF,0R,47nH,1.8nH,-29.7,97
451,24pF,6.8nH,270nH,0R,-31.1,97
452,24pF,0R,39nH,1nH,-28.9,97
453,22pF,0R,47nH,2.2nH,-30.8,97
454,20pF,0R,100nH,5.6nH,-36.1,97
455,20pF,0R,39nH,1.5nH,-28.7,97
456,18pF,0R,100nH,5.6nH,-31.7,97
457,100pF,0R,27pF,0R,-33.9,97
458,75pF,0R,27pF,0R,-27.9,97
459,62pF,0R,27pF,0R,-29.6,96
460,56pF,0R,27pF,0R,-38.7,96
461,100pF,0R,33pF,100pF,-27.3,97
462,82pF,0R,33pF,100pF,-30.3,97
463,68pF,0R,33pF,100pF,-42.0,97
464,56pF,0R,33pF,100pF,-42.8,97
