f_MHz,tune L402,S1 R311,shunt C311,S2 L311,S11_dB,power_to_antenna_pct
300,56nH,0R,20pF,22pF,-31.8,45
301,56nH,0R,16pF,24pF,-26.3,44
302,56nH,0R,13pF,24pF,-29.3,44
303,56nH,0R,10pF,24pF,-41.9,44
304,56nH,0R,7.5pF,27pF,-38.6,43
305,56nH,0R,5.1pF,43pF,-47.3,43
306,56nH,0R,5.6pF,0R,-36.1,42
307,47nH,0R,43pF,18pF,-18.4,43
308,47nH,0R,36pF,18pF,-22.0,42
309,47nH,0R,33pF,18pF,-22.8,42
310,47nH,0R,27pF,18pF,-26.0,42
311,47nH,0R,24pF,18pF,-29.8,42
312,47nH,0R,20pF,18pF,-37.3,42
313,47nH,0R,16pF,18pF,-32.0,42
314,47nH,0R,12pF,18pF,-27.9,41
315,39nH,2.7pF,10pF,0R,-34.4,41
316,39nH,0R,43pF,18pF,-15.5,43
317,39nH,3pF,9.1pF,0R,-30.0,42
318,39nH,0R,43pF,16pF,-19.3,43
319,39nH,0R,39pF,16pF,-20.8,43
320,39nH,0R,33pF,16pF,-28.4,43
321,33nH,0R,62pF,16pF,-15.7,45
322,33nH,0R,56pF,16pF,-16.7,45
323,27nH,0R,91pF,16pF,-18.1,46
324,27nH,0R,82pF,16pF,-20.4,47
325,27nH,0R,75pF,16pF,-21.9,47
326,27nH,0R,68pF,16pF,-21.6,48
327,22nH,0R,91pF,16pF,-30.1,49
328,18nH,0R,100pF,16pF,-16.6,49
329,27nH,0R,56pF,16pF,-16.8,50
330,18nH,0R,91pF,16pF,-17.4,51
331,27nH,0R,56pF,15pF,-24.2,51
332,22nH,0R,82pF,15pF,-17.6,53
333,22nH,0R,75pF,15pF,-19.8,54
334,22nH,0R,68pF,15pF,-21.6,55
335,22nH,0R,62pF,15pF,-18.3,55
336,18nH,0R,82pF,15pF,-20.6,57
337,18nH,0R,75pF,15pF,-21.3,58
338,12nH,0R,100pF,15pF,-16.3,58
339,12nH,0R,91pF,15pF,-25.3,59
340,10nH,0R,91pF,15pF,-20.5,60
341,6.8nH,0R,100pF,15pF,-18.4,60
342,6.8nH,0R,91pF,15pF,-16.2,61
343,5.6nH,0R,91pF,15pF,-15.2,62
344,15nH,1.5pF,10pF,0R,-22.9,60
345,18nH,1.8pF,9.1pF,0R,-21.9,61
346,22nH,0R,36pF,13pF,-25.7,62
347,22nH,0R,33pF,13pF,-30.9,62
348,18nH,0R,51pF,13pF,-16.1,65
