f_MHz,S11_dB,Re_Zin,Im_Zin
5.209800000000000182e+02,-7.106259344602092187e-02,3.235837197284905931e-01,3.814584952043266242e+01
5.214141499999999496e+02,-6.556740863452885371e-02,2.987877048065394892e-01,3.818515925762609697e+01
5.218482999999999947e+02,-6.005146303602298258e-02,2.738676909200996046e-01,3.822605632193418046e+01
5.222824500000000398e+02,-5.453795844788456026e-02,2.489270061731314598e-01,3.826854093539437685e+01
5.227165999999999713e+02,-4.904982714663609633e-02,2.240680513292189202e-01,3.831260669902621885e+01
5.231507500000000164e+02,-4.360963644597130873e-02,1.993919074108392309e-01,3.835824073156693714e+01
5.235848999999999478e+02,-3.823949735950523537e-02,1.749979585061557097e-01,3.840542382780897412e+01
5.240190499999999929e+02,-3.296097761466301734e-02,1.509835302670868296e-01,3.845413063508811291e+01
5.244532000000000380e+02,-2.779501922409402526e-02,1.274435444652611549e-01,3.850432984653596691e+01
5.248873499999999694e+02,-2.276186078051248979e-02,1.044701898613101393e-01,3.855598440978784680e+01
5.253215000000000146e+02,-1.788096460535910232e-02,8.215260955814811250e-02,3.860905174992088007e+01
5.257556499999999460e+02,-1.317094884659415419e-02,6.057660493043501293e-02,3.866348400547930453e+01
5.261897999999999911e+02,-8.649524591399422938e-03,3.982435617191271149e-02,3.871922827653468602e+01
5.266239500000000362e+02,-4.333438030578281447e-03,1.997415945514230060e-02,3.877622688380840543e+01
5.270580999999999676e+02,-2.384176871002863533e-04,1.100180673423964677e-03,3.883441763797416257e+01
5.274922500000000127e+02,3.620873300188869569e-03,-1.672777427830502220e-02,3.889373411832790595e+01
5.279263999999999442e+02,7.230879866088629586e-03,-3.344447273085723871e-02,3.895410596009158155e+01
5.283605499999999893e+02,1.057919272536423337e-02,-4.898945201211932221e-02,3.901545914967891804e+01
5.287947000000000344e+02,1.365458115277571986e-02,-6.330719977956753008e-02,3.907771632730641898e+01
5.292288499999999658e+02,1.644702090462010421e-02,-7.634731790658477735e-02,3.914079709638382099e+01
5.296630000000000109e+02,1.894771735713696170e-02,-8.806466987868014074e-02,3.920461833914906435e+01
5.300971500000000560e+02,2.114912394355310948e-02,-9.841951161951559279e-02,3.926909453804313443e+01
5.305312999999999874e+02,2.304495597633083454e-02,-1.073776056285670188e-01,3.933413810233343355e+01
5.309654500000000326e+02,2.463019994193901482e-02,-1.149103182607820739e-01,3.939965969949485469e+01
