f_MHz,Z11r,Z11i,Z12r,Z12i,Z21r,Z21i,Z22r,Z22i
1.890000000000000000e+02,-1.142996334057904684e-01,1.684578431530207965e+01,4.882051642199682351e-01,6.674623220434686921e+00,-2.390219401262516197e+00,8.617329847872930770e+00,2.165222988257826131e+01,-2.817009079084114660e+02
1.891574999999999989e+02,-1.124088183667779767e-01,1.686055135456368603e+01,4.690904016126013487e-01,6.685938840843462572e+00,-2.373693696972789979e+00,8.646172617001765204e+00,2.147738202554937459e+01,-2.815345594507986107e+02
1.893149999999999977e+02,-1.105228552336905423e-01,1.687529695341660840e+01,4.501355257005538735e-01,6.697440512396178214e+00,-2.357031783190395746e+00,8.674742174055804611e+00,2.130180935469672221e+01,-2.813656499006045806e+02
1.894724999999999966e+02,-1.086419766974945078e-01,1.689002127738386605e+01,4.313418232096155602e-01,6.709125375461480800e+00,-2.340237313303511701e+00,8.703038150844323084e+00,2.112555227631313670e+01,-2.811941876991040203e+02
1.896299999999999955e+02,-1.067664121778781616e-01,1.690472449475898387e+01,4.127105364163983214e-01,6.720990564352676166e+00,-2.323313935183708878e+00,8.731060231725951581e+00,2.094865087272154014e+01,-2.810201817965992177e+02
1.897874999999999943e+02,-1.048963877848448356e-01,1.691940677652982927e+01,3.942428631642768688e-01,6.733033208153550220e+00,-2.306265290185912864e+00,8.758808153354133097e+00,2.077114489437118294e+01,-2.808436416451199875e+02
1.899449999999999932e+02,-1.030321262819388350e-01,1.693406829630411181e+01,3.759399568982944029e-01,6.745250431540021907e+00,-2.289095012160512255e+00,8.786281704399224068e+00,2.059307375217845149e+01,-2.806645771909842324e+02
1.901024999999999920e+02,-1.011738470518083743e-01,1.694870923023356823e+01,3.578029267204042574e-01,6.757639355598243469e+00,-2.271806726475579019e+00,8.813480725249663195e+00,2.041447651001385211e+01,-2.804829988671982619e+02
1.902599999999999909e+02,-9.932176606320672341e-02,1.696332975693717060e+01,3.398328374628964976e-01,6.770197098637069644e+00,-2.254404049052761483e+00,8.840405107690079589e+00,2.023539187744364654e+01,-2.802989175857065334e+02
1.904174999999999898e+02,-9.747609584003517902e-02,1.697793005742538597e+01,3.220307097806950347e-01,6.782920776995487344e+00,-2.236890585415453714e+00,8.867054794559059872e+00,2.005585820266060892e+01,-2.801123447295123015e+02
