f_MHz,Z11r,Z11i,Z12r,Z12i,Z21r,Z21i,Z22r,Z22i
5.490000000000000000e+02,4.511040308302107643e-02,3.972046557550756773e+01,8.568252890683138515e-03,2.181007623636334003e+01,-6.668956645884567269e-01,2.174101136613061058e+01,1.328063711365703981e+01,-2.564564189673997134e+02
5.494574999999999818e+02,4.835162547477733080e-02,3.976150523822445848e+01,-3.373301598211327079e-02,2.183949247649410808e+01,-6.709712346777808589e-01,2.183520351096527889e+01,1.297604487178007204e+01,-2.565421510594174492e+02
5.499149999999999636e+02,5.175595085988825284e-02,3.980234326719678961e+01,-7.568879073253348411e-02,2.187183005546431502e+01,-6.705181606068074673e-01,2.192939111522854390e+01,1.264276296616302631e+01,-2.566046692051107243e+02
5.503724999999999454e+02,5.530726639549667090e-02,3.984296865839821322e+01,-1.170968576359965596e-01,2.190705403273015506e+01,-6.655539122439381172e-01,2.202325653410575867e+01,1.228259128743238371e+01,-2.566420327931123779e+02
5.508300000000000409e+02,5.898855298700329819e-02,3.988337169622464984e+01,-1.577576990297123449e-01,2.194511395667668197e+01,-6.561203695831493432e-01,2.211648331299011971e+01,1.189747874483403045e+01,-2.566524407426568928e+02
5.512875000000000227e+02,6.278200327443542172e-02,3.992354404575189619e+01,-1.974758822943978587e-01,2.198594402928745239e+01,-6.422838451668387849e-01,2.220875836592932728e+01,1.148951156517899364e+01,-2.566342454211430777e+02
5.517450000000000045e+02,6.666915079718187254e-02,3.996347883207871376e+01,-2.360614420618414311e-01,2.202946342106153566e+01,-6.241348722430101192e-01,2.229977417404318629e+01,1.106090000302739362e+01,-2.565859654177942275e+02
5.522024999999999864e+02,7.063100866109708886e-02,4.000317070522645224e+01,-2.733312362879488644e-01,2.207557673628370765e+01,-6.017877545600769373e-01,2.238923097385987404e+01,1.061396359853927684e+01,-2.565062969610639811e+02
5.526599999999999682e+02,7.464821579239061533e-02,4.004261588931311877e+01,-3.091102567541102464e-01,2.212417462588189210e+01,-5.753798781447914124e-01,2.247683890482364077e+01,1.015111515136576337e+01,-2.563941237869947258e+02
5.531174999999999500e+02,7.870118867820563580e-02,4.008181221501672553e+01,-3.432328749784891997e-01,2.217513454222456204e+01,-5.450707899804958512e-01,2.256232008528156641e+01,9.674843607688924152e+00,-2.562485252907214885e+02
5.535750000000000455e+02,8.277027635525624483e-02,4.012075913465733379e+01,-3.755440053957846414e-01,2.222832162740579065e+01,-5.110410530307299970e-01,2.264541058705760790e+01,9.187696081836024931e+00,-2.560687828229340539e+02
5.540325000000000273e+02,8.683591632015691397e-02,4.015945771957360222e+01,-4.059001690173934529e-01,2.228358972393262860e+01,-4.734908914342282338e-01,2.272586228028887945e+01,8.692259253293576293e+00,-2.558543840266027587e+02
5.544900000000000091e+02,9.087878901305615487e-02,4.019791063981781321e+01,-4.341704425513748800e-01,2.234078249433723684e+01,-4.326386437628603199e-01,2.280344452246083975e+01,8.191140393460040414e+00,-2.556050251456627507e+02
5.549474999999999909e+02,9.487996855704423915e-02,4.023612212654856535e+01,-4.602372801060051200e-01,2.239973463417585364e+01,-3.887190458819722583e-01,2.287794566849766653e+01,7.686948283862045983e+00,-2.553206112755389370e+02
5.554049999999999727e+02,9.882106752374288094e-02,4.027409791783642135e+01,-4.839971970554599601e-01,2.246027316119482009e+01,-3.419813680608156381e-01,2.294917438223419026e+01,7.182274288541145246e+00,-2.550012545641734789e+02
5.558624999999999545e+02,1.026843736460954087e-01,4.031184518892158763e+01,-5.053613083263943651e-01,2.252221876220022523e+01,-2.926874334566488267e-01,2.301696073351332572e+01,6.679673837814420700e+00,-2.546472704104917284e+02
5.563200000000000500e+02,1.064529765930177785e-01,4.034937246824519264e+01,-5.242557161927000609e-01,2.258538717839219956e+01,-2.411095468797757324e-01,2.308115706939657841e+01,6.181648569030503637e+00,-2.542591717437757382e+02
5.567775000000000318e+02,1.101108831506740215e-01,4.038668954082935869e+01,-5.406217455551189932e-01,2.264959060962346982e+01,-1.875283637969917816e-01,2.314163865240410090e+01,5.690629352668205243e+00,-2.538376615011556794e+02
