f_MHz,tune L404,S1 R321,shunt C321,S2 L321,S11_dB,power_to_antenna_pct
779,0R,0R,9.1pF,3.3pF,-39.5,97
780,0R,0R,9.1pF,3.3pF,-26.1,97
781,0R,0R,8.2pF,3.3pF,-26.4,97
782,0R,0R,8.2pF,3.3pF,-28.9,97
783,0R,0R,8.2pF,3.3pF,-27.0,97
784,0R,0R,8.2pF,3.3pF,-24.1,97
785,0R,0R,7.5pF,3.3pF,-24.3,97
786,0R,0R,7.5pF,3.3pF,-24.4,97
787,0R,0R,7.5pF,3.3pF,-22.6,97
788,0R,0R,6.8pF,3.3pF,-21.3,97
789,0R,0R,6.8pF,3.3pF,-21.7,97
790,0R,1.2pF,1.1pF,0R,-27.3,97
791,0R,1.2pF,1.1pF,0R,-33.3,97
792,0R,1.2pF,1.1pF,0R,-39.8,97
793,0R,1.2pF,1.1pF,0R,-28.4,97
794,0R,1.3pF,1pF,0R,-28.3,98
795,0R,1.3pF,1pF,0R,-28.3,98
796,0R,1.3pF,1pF,0R,-26.4,98
797,0R,0R,6.2pF,3pF,-24.6,98
798,0R,1.3pF,0.91pF,0R,-29.8,98
799,0R,0R,5.6pF,3pF,-25.9,98
800,0R,0R,5.6pF,3pF,-28.1,98
801,0R,0R,5.1pF,3pF,-26.6,98
802,0R,0R,5.1pF,3pF,-29.8,98
803,0R,0R,5.1pF,3pF,-31.3,98
804,0R,0R,4.7pF,3pF,-31.4,98
805,0R,0R,4.7pF,3pF,-35.3,98
806,0R,0R,4.3pF,3pF,-31.0,98
807,0R,0R,4.3pF,3pF,-37.0,99
808,0R,0R,4.3pF,3pF,-37.9,99
809,0R,0R,3.9pF,3pF,-31.0,99
810,0R,0R,3.9pF,3pF,-41.8,99
811,0R,0R,3.9pF,3pF,-38.1,99
812,0R,0R,3.6pF,3pF,-36.7,99
813,0R,0R,3.6pF,3pF,-40.3,99
814,0R,0R,3.3pF,3pF,-34.6,99
815,0R,0R,3.3pF,3pF,-41.5,99
816,0R,0R,3.3pF,3pF,-36.1,99
817,0R,0R,3pF,3pF,-36.1,99
818,0R,0R,3pF,3pF,-40.1,99
819,0R,0R,3pF,3pF,-36.8,99
820,0R,0R,2.7pF,3pF,-34.8,99
821,0R,0R,2.7pF,3pF,-36.8,99
822,0R,0R,2.7pF,3pF,-35.5,99
823,0R,0R,2.4pF,3pF,-32.1,99
824,0R,0R,2.4pF,3pF,-33.7,99
825,0R,0R,2.4pF,3pF,-33.9,99
826,0R,0R,2.2pF,3pF,-31.8,99
827,0R,0R,2.2pF,3pF,-32.4,99
828,0R,0R,2.2pF,3pF,-32.1,99
829,0R,0R,2pF,3pF,-30.6,99
830,0R,0R,2pF,3pF,-31.3,99
831,0R,0R,2pF,3pF,-31.0,99
832,0R,0R,1.8pF,3pF,-29.9,99
833,0R,0R,2pF,3.3pF,-29.5,99
834,0R,0R,2pF,3.3pF,-31.4,99
835,0R,0R,2pF,3.3pF,-33.4,99
836,0R,0R,1.8pF,3.3pF,-30.3,99
837,0R,0R,1.8pF,3.3pF,-32.6,99
838,0R,0R,1.8pF,3.3pF,-35.8,99
839,0R,0R,1.6pF,3.3pF,-30.9,99
840,0R,0R,1.6pF,3.3pF,-33.9,99
841,0R,0R,1.6pF,3.3pF,-38.4,99
842,0R,0R,1.6pF,3.3pF,-47.6,99
843,0R,0R,1.5pF,3.3pF,-42.0,99
844,0R,0R,1.5pF,3.3pF,-39.6,99
845,0R,0R,1.3pF,3.3pF,-34.1,99
846,0R,0R,1.5pF,3.6pF,-33.6,99
847,0R,0R,1.5pF,3.6pF,-39.2,99
848,0R,0R,1.5pF,3.6pF,-48.3,99
849,0R,0R,1.5pF,3.6pF,-35.6,99
850,0R,0R,1.5pF,3.9pF,-33.6,99
851,0R,0R,1.6pF,3.9pF,-46.4,99
852,0R,0R,1.5pF,3.9pF,-35.3,99
853,0R,0R,1.8pF,4.3pF,-50.1,99
854,0R,0R,1.8pF,4.3pF,-40.8,99
855,0R,0R,2pF,4.7pF,-39.1,99
856,0R,0R,2pF,4.7pF,-41.7,99
857,0R,0R,2.2pF,5.1pF,-39.6,99
858,0R,0R,2.2pF,5.1pF,-44.4,99
859,0R,0R,2.4pF,5.6pF,-34.2,99
860,0R,0R,2.4pF,5.6pF,-34.4,99
861,0R,0R,2.7pF,5.6pF,-37.3,99
862,0R,0R,2.7pF,5.6pF,-37.1,99
863,0R,0R,3pF,6.2pF,-33.7,99
864,0R,0R,3pF,6.2pF,-36.7,99
865,0R,0R,3pF,6.2pF,-33.1,99
866,0R,0R,3.3pF,6.2pF,-44.2,99
867,0R,0R,3.3pF,6.2pF,-34.5,99
868,0R,0R,3.6pF,6.2pF,-40.2,99
868.3,0R,0R,3.6pF,6.2pF,-41.7,99
869,0R,0R,3.6pF,6.2pF,-33.5,99
870,0R,0R,3.9pF,6.2pF,-34.1,99
871,0R,0R,3.9pF,6.2pF,-31.5,99
872,0R,0R,4.3pF,5.6pF,-29.5,99
873,0R,0R,4.3pF,5.6pF,-35.5,99
874,0R,0R,4.3pF,5.6pF,-39.5,99
875,0R,0R,4.3pF,5.6pF,-31.8,99
876,0R,0R,4.7pF,5.6pF,-28.5,99
877,0R,0R,4.7pF,5.1pF,-30.8,99
878,0R,0R,4.7pF,5.1pF,-31.7,99
879,0R,0R,5.1pF,5.1pF,-30.8,99
880,0R,0R,5.1pF,4.7pF,-28.3,99
